id,archetype,latency_ms,drift_score,response_len
SYN-0327,herbalist,5119.1,1.0,82
SYN-0328,herbalist,3294.4,1.0,38
SYN-0329,herbalist,2860.6,1.0,53
SYN-0330,herbalist,4130.3,1.0,96
SYN-0331,herbalist,2683.1,0.0,39
SYN-0332,guard,3069.2,1.0,54
SYN-0333,guard,3524.6,1.0,56
SYN-0334,guard,4447.3,1.0,100
SYN-0335,guard,3172.8,1.0,48
SYN-0336,guard,3602.4,0.0,71
SYN-0337,guard,2786.6,0.0,31
SYN-0338,guard,3399.5,1.0,46
SYN-0339,merchant,3049.9,1.0,49
SYN-0340,merchant,3742.1,1.0,61
SYN-0341,merchant,3452.8,0.0,47
SYN-0342,merchant,4508.6,1.0,86
SYN-0343,merchant,3563.5,0.0,52
SYN-0344,innkeeper,6169.0,0.8,148
SYN-0345,innkeeper,5623.0,0.0,103
SYN-0346,innkeeper,3399.0,0.0,40
SYN-0347,innkeeper,2997.5,1.0,30
SYN-0348,innkeeper,3309.3,0.0,42
SYN-0349,scholar,3129.9,0.0,43
SYN-0350,scholar,4507.6,1.0,72
SYN-0351,scholar,8187.2,1.0,246
SYN-0352,scholar,5340.2,1.0,72
SYN-0353,scholar,3246.8,0.0,35
CHM-0654,guard,3733.7,0.3333,50
CHM-0655,noble,5274.0,1.0,62
CHM-0656,noble,5113.7,0.3333,120
CHM-0657,peasant,5610.2,1.0,67
CHM-0658,peasant,10762.8,1.0,221
CHM-0659,peasant,10803.4,1.0,168
CHM-0660,peasant,5577.9,0.75,66
CHM-0661,noble,6262.1,0.6667,94
CHM-0662,innkeeper,5196.4,1.0,59
CHM-0663,noble,7089.3,1.0,101
CHM-0664,scholar,7420.0,0.5,115
CHM-0665,peasant,10343.4,1.0,137
CHM-0666,scholar,9555.7,1.0,161
CHM-0667,scholar,9374.1,1.0,119
CHM-0668,noble,12341.8,1.0,223
CHM-0669,scholar,10822.1,0.8,134
CHM-0670,peasant,6845.6,0.3333,88
CHM-0671,guard,8570.9,1.0,138
CHM-0672,peasant,9938.5,0.5,154
CHM-0673,peasant,7036.9,1.0,82
CHM-0674,guard,5118.5,1.0,46
CHM-0675,noble,5747.2,1.0,53
CHM-0676,noble,18195.1,0.5,350
CHM-0677,noble,11087.2,1.0,147
CHM-0678,guard,4924.5,1.0,39
CHM-0679,peasant,6401.7,1.0,70
CHM-0680,noble,12571.0,0.6667,184
CHM-0681,peasant,9076.1,1.0,147
CHM-0682,noble,8169.4,1.0,98
CHM-0683,innkeeper,8451.4,1.0,102
CHM-0684,noble,9511.0,1.0,136
CHM-0685,peasant,4723.3,1.0,45
CHM-0686,noble,7641.3,0.0,73
CHM-0687,peasant,5553.0,1.0,60
CHM-0688,guard,8688.6,0.0,115
CHM-0689,peasant,8931.5,0.5,124
CHM-0690,peasant,6375.5,1.0,56
CHM-0691,peasant,9991.2,1.0,116
CHM-0692,noble,6180.3,1.0,49
CHM-0693,guard,5328.0,1.0,49
