id,archetype,latency_ms,drift_score,response_len
SYN-0808,merchant,460.2,1.0,47
SYN-0809,merchant,1257.2,1.0,145
SYN-0810,scholar,657.7,1.0,72
SYN-0811,scholar,564.3,1.0,53
SYN-0812,scholar,529.3,0.0,42
SYN-0813,scholar,772.9,1.0,66
SYN-0814,scholar,612.6,0.0,63
SYN-0815,innkeeper,566.8,1.0,41
SYN-0816,innkeeper,794.6,1.0,85
SYN-0817,innkeeper,796.3,1.0,87
SYN-0818,innkeeper,2424.2,1.0,268
SYN-0819,innkeeper,1739.6,1.0,156
SYN-0820,herbalist,357.6,1.0,22
SYN-0821,herbalist,1267.3,1.0,104
SYN-0822,herbalist,957.7,1.0,89
SYN-0823,herbalist,678.6,1.0,67
SYN-0824,herbalist,477.4,1.0,52
SYN-0825,merchant,853.2,0.75,97
SYN-0826,merchant,1013.4,1.0,106
SYN-0827,merchant,354.9,1.0,24
SYN-0828,merchant,358.8,1.0,28
SYN-0829,merchant,254.0,1.0,19
SYN-0830,scholar,1367.7,1.0,135
SYN-0831,scholar,1209.8,1.0,139
SYN-0832,scholar,346.8,1.0,24
SYN-0833,scholar,811.4,0.0,87
SYN-0834,scholar,924.1,1.0,79
SYN-0835,innkeeper,1142.9,1.0,71
SYN-0836,innkeeper,1594.5,1.0,139
SYN-0837,innkeeper,417.3,1.0,25
SYN-0838,innkeeper,467.6,1.0,24
SYN-0839,innkeeper,675.7,1.0,59
SYN-0840,herbalist,667.9,1.0,73
SYN-0841,herbalist,542.1,1.0,63
SYN-0842,herbalist,383.0,1.0,29
SYN-0843,herbalist,927.9,1.0,99
SYN-0844,herbalist,1415.2,1.0,148
SYN-0845,merchant,1398.2,1.0,158
SYN-0846,merchant,345.8,1.0,24
SYN-0847,merchant,938.1,1.0,99
SYN-0848,merchant,498.7,1.0,34
SYN-0849,merchant,718.2,1.0,59
SYN-0850,scholar,322.6,1.0,26
SYN-0851,scholar,470.6,1.0,41
SYN-0852,scholar,1124.1,1.0,112
SYN-0853,scholar,1142.8,1.0,99
SYN-0854,scholar,1041.5,1.0,83
SYN-0855,innkeeper,1230.1,1.0,102
SYN-0856,innkeeper,616.9,0.0,56
SYN-0857,innkeeper,590.3,1.0,49
SYN-0858,innkeeper,395.7,1.0,36
SYN-0859,innkeeper,288.3,1.0,18
SYN-0860,herbalist,514.4,1.0,38
SYN-0861,herbalist,460.6,1.0,38
SYN-0862,herbalist,1403.7,1.0,156
SYN-0863,herbalist,375.5,1.0,34
SYN-0864,herbalist,648.2,1.0,70
SYN-0865,merchant,345.7,1.0,24
SYN-0866,merchant,787.8,1.0,76
SYN-0867,merchant,287.0,1.0,21
SYN-0868,merchant,1133.1,1.0,120
SYN-0869,merchant,940.1,1.0,90
SYN-0870,scholar,287.7,1.0,18
SYN-0871,scholar,407.4,1.0,34
SYN-0872,scholar,598.4,1.0,43
SYN-0873,scholar,411.5,1.0,24
SYN-0874,scholar,1266.0,1.0,106
SYN-0875,innkeeper,663.0,1.0,42
