id,archetype,latency_ms,drift_score,response_len
GUT-0268,clergy,1675.5,1.0,38
GUT-0269,clergy,7059.3,1.0,247
GUT-0270,clergy,7210.6,1.0,253
GUT-0271,clergy,1659.6,0.5,50
GUT-0272,clergy,1403.3,1.0,36
GUT-0273,clergy,923.2,1.0,29
GUT-0274,clergy,2760.6,1.0,95
GUT-0275,clergy,3055.7,0.6667,123
GUT-0276,peasant,1516.7,1.0,49
GUT-0277,peasant,7169.7,1.0,133
GUT-0278,clergy,1467.6,1.0,38
GUT-0279,clergy,2655.7,1.0,117
GUT-0280,clergy,1419.1,1.0,44
GUT-0281,clergy,3066.3,1.0,109
GUT-0282,clergy,1316.4,1.0,30
GUT-0283,clergy,1579.3,1.0,38
GUT-0284,clergy,2159.9,1.0,73
GUT-0285,clergy,1395.4,1.0,40
GUT-0286,clergy,1436.0,1.0,42
GUT-0287,clergy,3056.4,1.0,101
GUT-0288,clergy,1202.8,1.0,43
GUT-0289,clergy,1839.8,1.0,61
GUT-0290,clergy,2597.6,1.0,90
GUT-0291,clergy,2109.9,1.0,70
GUT-0292,clergy,1088.5,1.0,30
GUT-0293,clergy,3155.9,0.6667,122
GUT-0294,clergy,1650.6,1.0,35
GUT-0295,clergy,1475.8,1.0,49
GUT-0296,clergy,879.6,1.0,23
GUT-0297,clergy,1785.4,1.0,49
GUT-0298,clergy,1365.6,0.5,45
GUT-0299,clergy,7409.7,1.0,246
GUT-0300,clergy,2914.9,1.0,84
GUT-0301,clergy,7535.9,1.0,275
GUT-0302,clergy,7250.8,1.0,238
GUT-0303,clergy,1189.8,1.0,28
GUT-0304,clergy,7319.3,0.8,295
GUT-0305,clergy,7239.0,1.0,277
GUT-0306,clergy,2192.8,0.0,66
GUT-0307,clergy,7517.4,1.0,266
GUT-0308,clergy,7170.0,0.75,265
GUT-0309,clergy,1028.8,1.0,30
GUT-0310,clergy,1656.2,0.0,41
GUT-0311,clergy,1377.6,1.0,37
GUT-0312,clergy,1281.8,1.0,30
GUT-0313,clergy,1647.4,0.6667,48
GUT-0314,clergy,801.7,1.0,15
GUT-0315,clergy,1526.4,0.6667,45
GUT-0316,clergy,7017.7,1.0,214
GUT-0317,clergy,1316.7,0.3333,44
GUT-0318,clergy,1163.1,1.0,29
GUT-0319,clergy,1638.6,1.0,40
GUT-0320,clergy,7286.7,1.0,244
GUT-0321,clergy,1566.0,1.0,44
GUT-0322,clergy,800.4,1.0,22
GUT-0323,clergy,2970.7,1.0,94
GUT-0324,clergy,1283.0,0.6667,44
GUT-0325,clergy,1257.9,1.0,30
GUT-0326,clergy,7016.9,1.0,215
