id,archetype,latency_ms,drift_score,response_len
SYN-0327,herbalist,13538.9,1.0,231
SYN-0328,herbalist,5128.9,1.0,85
SYN-0329,herbalist,3835.6,1.0,53
SYN-0330,herbalist,6387.7,1.0,119
SYN-0331,herbalist,3999.8,0.0,44
SYN-0332,guard,5129.1,1.0,73
SYN-0333,guard,5239.8,1.0,56
SYN-0334,guard,7772.0,1.0,101
SYN-0335,guard,4084.3,1.0,48
SYN-0336,guard,5220.3,0.0,91
SYN-0337,guard,3954.3,0.0,38
SYN-0338,guard,4060.6,1.0,46
SYN-0339,merchant,3903.4,1.0,51
SYN-0340,merchant,4363.1,1.0,47
SYN-0341,merchant,4062.6,0.0,43
SYN-0342,merchant,3740.0,1.0,45
SYN-0343,merchant,6265.1,0.0,112
SYN-0344,innkeeper,5156.7,1.0,81
SYN-0345,innkeeper,13880.2,0.0,266
SYN-0346,innkeeper,6114.6,1.0,84
