id,archetype,latency_ms,drift_score,response_len
SYN-0890,scholar,2767.5,0.0,607
SYN-0891,scholar,6877.4,0.0,1299
SYN-0892,scholar,2529.2,0.0,486
SYN-0893,scholar,2846.7,0.0,587
SYN-0894,scholar,6367.3,0.0,1455
SYN-0895,innkeeper,1585.0,0.0,356
SYN-0896,innkeeper,5128.6,0.0,990
SYN-0897,innkeeper,2831.9,0.0,707
SYN-0898,innkeeper,1836.8,0.0,444
SYN-0899,innkeeper,7499.1,0.0,1729
SYN-0900,merchant,5086.6,0.0,1085
SYN-0901,merchant,2547.0,0.0,542
SYN-0902,scholar,2098.5,0.0,448
SYN-0903,scholar,4714.3,0.0,821
SYN-0904,innkeeper,2218.8,0.0,341
SYN-0905,merchant,2801.7,0.0,352
SYN-0906,merchant,4657.4,0.0,1109
SYN-0907,merchant,2370.9,0.0,430
SYN-0908,merchant,4921.0,0.0,1317
SYN-0909,merchant,2664.0,0.0,394
SYN-0910,merchant,2123.8,0.0,581
SYN-0911,scholar,4254.3,0.0,1217
SYN-0912,scholar,3184.1,0.0,895
SYN-0913,scholar,5413.7,0.0,1374
SYN-0914,scholar,5859.4,0.0,1485
SYN-0915,scholar,3440.9,0.0,938
SYN-0916,scholar,2149.9,0.0,539
SYN-0917,innkeeper,2838.6,0.0,806
SYN-0918,innkeeper,1375.5,0.0,265
SYN-0919,innkeeper,3848.6,0.0,1032
SYN-0920,innkeeper,2208.9,0.0,527
SYN-0921,herbalist,4514.0,0.0,864
SYN-0922,herbalist,2864.9,0.0,765
SYN-0923,herbalist,2018.1,0.0,516
SYN-0924,merchant,2886.4,0.0,764
SYN-0925,merchant,5845.4,0.0,1135
SYN-0926,merchant,8798.2,0.0,1587
SYN-0927,merchant,6850.4,0.0,1533
SYN-0928,merchant,2251.9,0.0,537
SYN-0929,scholar,4233.3,0.0,1166
SYN-0930,scholar,2824.4,0.0,723
SYN-0931,scholar,2634.6,0.0,740
SYN-0932,scholar,2717.4,0.0,764
SYN-0933,scholar,5449.7,0.0,1201
SYN-0934,innkeeper,1925.6,0.0,413
SYN-0935,innkeeper,2205.1,0.0,531
SYN-0936,innkeeper,1997.7,0.0,541
SYN-0937,innkeeper,1748.6,0.0,453
SYN-0938,innkeeper,2004.2,0.0,518
SYN-0939,herbalist,2476.3,0.0,617
SYN-0940,herbalist,1693.2,0.0,520
SYN-0941,merchant,2301.6,0.0,591
SYN-0942,merchant,3392.5,0.0,877
SYN-0943,merchant,7074.0,0.0,1774
SYN-0944,merchant,6370.8,0.0,1311
SYN-0945,merchant,3422.9,0.0,802
SYN-0946,scholar,3790.8,0.0,865
SYN-0947,scholar,4693.7,0.0,1190
SYN-0948,scholar,6650.2,0.0,1539
SYN-0949,scholar,2236.1,0.0,537
SYN-0950,scholar,5637.8,0.0,1397
SYN-0951,innkeeper,1649.8,0.0,390
SYN-0952,innkeeper,1707.7,0.0,455
SYN-0953,innkeeper,2061.2,0.0,521
SYN-0954,innkeeper,3554.0,0.0,901
SYN-0955,innkeeper,4504.6,0.0,1225
SYN-0956,herbalist,5719.7,0.0,1309
SYN-0957,herbalist,3267.9,0.0,764
SYN-0958,merchant,7479.1,0.0,1511
SYN-0959,merchant,2214.3,0.0,546
SYN-0960,merchant,3402.5,0.0,741
SYN-0961,merchant,1944.0,0.0,386
SYN-0962,merchant,2353.1,0.0,541
SYN-0963,scholar,3177.9,0.0,770
SYN-0964,scholar,5664.4,0.0,1412
SYN-0965,scholar,5093.4,0.0,1218
SYN-0966,scholar,3183.3,0.0,906
SYN-0967,scholar,4507.8,0.0,1011
SYN-0968,innkeeper,2347.9,0.0,605
SYN-0969,innkeeper,5469.9,0.0,1128
SYN-0970,innkeeper,4153.7,0.0,550
SYN-0971,innkeeper,12402.2,0.0,1761
SYN-0972,herbalist,7853.3,0.0,1215
SYN-0973,herbalist,6117.7,0.0,1423
SYN-0974,herbalist,1612.1,0.0,388
SYN-0975,merchant,4710.6,0.0,1143
SYN-0976,merchant,2789.7,0.0,641
SYN-0977,merchant,9884.3,0.0,1366
SYN-0978,merchant,4154.4,0.0,616
SYN-0979,merchant,2814.7,0.0,615
SYN-0980,merchant,1812.6,0.0,266
SYN-0981,scholar,13183.0,0.0,1370
SYN-0982,scholar,5179.6,0.0,664
SYN-0983,scholar,5421.3,0.0,1316
SYN-0984,scholar,3819.2,0.0,639
SYN-0985,innkeeper,3226.0,0.0,397
SYN-0986,innkeeper,5115.6,0.0,1202
SYN-0987,innkeeper,2309.8,0.0,561
SYN-0988,innkeeper,11565.3,0.0,1356
SYN-0989,herbalist,12005.8,0.0,683
SYN-0990,herbalist,5988.9,0.0,772
SYN-0991,herbalist,16424.6,0.0,1530
SYN-0992,guard,3900.0,0.0,461
SYN-0993,guard,10953.1,0.0,1087
SYN-0994,merchant,3900.9,0.0,414
SYN-0995,merchant,3521.2,0.0,771
SYN-0996,merchant,2516.6,0.0,622
SYN-0997,merchant,4877.2,0.0,1107
SYN-0998,scholar,7638.3,0.0,1113
SYN-0999,scholar,4380.4,0.0,564
SYN-1000,scholar,3429.1,0.0,955
SYN-1001,innkeeper,2454.0,0.0,579
SYN-1002,innkeeper,7009.4,0.0,1365
SYN-1003,innkeeper,1969.1,0.0,427
