id,archetype,latency_ms,drift_score,response_len
CHM-0792,peasant,10612.1,1.0,143
CHM-0793,peasant,13727.4,1.0,212
CHM-0794,peasant,13504.3,1.0,223
CHM-0795,guard,9137.5,1.0,116
CHM-0796,noble,10711.2,0.75,146
CHM-0797,peasant,9086.5,1.0,129
CHM-0798,noble,8388.9,1.0,121
CHM-0799,guard,13514.1,1.0,181
CHM-0800,noble,9149.5,1.0,115
CHM-0801,peasant,7353.9,1.0,90
CHM-0802,guard,8698.4,1.0,106
CHM-0803,noble,7064.7,0.6667,95
SYN-0804,merchant,4639.0,0.0,51
SYN-0805,merchant,6924.8,1.0,78
SYN-0806,merchant,6440.8,0.0,74
SYN-0807,merchant,16847.6,1.0,303
SYN-0808,merchant,6231.0,0.0,60
SYN-0809,merchant,6811.3,1.0,73
SYN-0810,scholar,4951.7,0.75,50
SYN-0811,scholar,9696.0,0.0,137
SYN-0812,scholar,6410.5,0.0,73
SYN-0813,scholar,5766.0,0.0,75
SYN-0814,scholar,5839.9,0.0,74
SYN-0815,innkeeper,8691.2,1.0,113
SYN-0816,innkeeper,5980.9,0.0,64
SYN-0817,innkeeper,12042.0,1.0,96
SYN-0818,innkeeper,8067.2,0.0,60
SYN-0819,innkeeper,7983.7,0.0,56
SYN-0820,herbalist,7720.3,0.0,123
SYN-0821,herbalist,4885.9,0.0,42
SYN-0822,herbalist,5832.5,0.0,51
SYN-0823,herbalist,6366.3,0.0,53
SYN-0824,herbalist,11427.0,0.0,216
SYN-0825,merchant,7396.5,1.0,54
SYN-0826,merchant,20842.1,0.0,159
SYN-0827,merchant,6637.0,1.0,102
SYN-0828,merchant,4690.6,0.0,34
SYN-0829,merchant,19693.1,1.0,230
SYN-0830,scholar,4231.7,0.0,34
SYN-0831,scholar,6000.4,0.0,66
SYN-0832,scholar,4908.1,0.0,48
SYN-0833,scholar,5066.7,0.0,55
SYN-0834,scholar,10255.3,0.0,164
SYN-0835,innkeeper,18539.7,0.0,326
SYN-0836,innkeeper,6580.1,0.0,78
SYN-0837,innkeeper,7592.6,1.0,85
SYN-0838,innkeeper,9157.3,1.0,97
SYN-0839,innkeeper,7395.7,0.0,76
SYN-0840,herbalist,10499.5,0.0,138
SYN-0841,herbalist,6058.3,1.0,61
