id,archetype,latency_ms,drift_score,response_len
SYN-0955,innkeeper,1588.6,0.0,44
SYN-0956,herbalist,4212.8,1.0,132
SYN-0957,herbalist,1902.4,1.0,43
SYN-0958,merchant,2604.4,1.0,62
SYN-0959,merchant,1910.0,0.0,49
SYN-0960,merchant,2975.9,1.0,55
SYN-0961,merchant,4308.2,0.0,129
SYN-0962,merchant,1870.8,0.0,47
SYN-0963,scholar,3606.6,0.0,115
SYN-0964,scholar,4470.7,0.0,140
SYN-0965,scholar,5487.5,0.0,115
SYN-0966,scholar,8710.5,0.0,336
SYN-0967,scholar,1352.6,0.0,34
SYN-0968,innkeeper,3705.5,1.0,61
SYN-0969,innkeeper,2760.5,1.0,76
SYN-0970,innkeeper,2762.8,0.0,73
SYN-0971,innkeeper,10038.5,1.0,273
SYN-0972,herbalist,3995.7,1.0,57
SYN-0973,herbalist,4231.1,0.0,117
SYN-0974,herbalist,2457.8,0.0,59
SYN-0975,merchant,1741.2,1.0,47
SYN-0976,merchant,3147.8,0.0,85
SYN-0977,merchant,1953.1,0.0,59
SYN-0978,merchant,1352.1,0.0,33
SYN-0979,merchant,2484.5,0.0,76
SYN-0980,merchant,1919.9,0.0,65
SYN-0981,scholar,2425.1,1.0,56
SYN-0982,scholar,8681.3,0.0,281
SYN-0983,scholar,1607.6,0.0,38
SYN-0984,scholar,1805.8,0.0,52
SYN-0985,innkeeper,3921.0,1.0,109
SYN-0986,innkeeper,8868.7,0.0,300
SYN-0987,innkeeper,2761.4,1.0,68
SYN-0988,innkeeper,8772.0,0.0,268
SYN-0989,herbalist,4706.9,1.0,145
SYN-0990,herbalist,2270.4,0.0,69
SYN-0991,herbalist,3436.9,1.0,104
SYN-0992,guard,1681.3,1.0,41
SYN-0993,guard,2171.0,1.0,60
SYN-0994,merchant,3102.3,0.0,84
SYN-0995,merchant,2636.5,0.0,65
SYN-0996,merchant,2949.5,1.0,73
SYN-0997,merchant,3296.8,0.0,91
SYN-0998,scholar,3202.3,0.0,118
SYN-0999,scholar,8711.2,0.0,318
SYN-1000,scholar,2370.9,0.0,69
SYN-1001,innkeeper,3853.8,0.0,112
SYN-1002,innkeeper,2272.5,0.0,62
SYN-1003,innkeeper,1862.4,0.0,56
